Youtube	Spotify
Tani Yuuki	Tani Yuuki
Kimini Muchuu	君に夢中
Hikaru Utada	Hikaru Utada
Fly	FLY
Mukai Taichi	Taichi Mukai
Kirari	きらり
Fujii Kaze	Fujii Kaze
utopia	utopia
miida	miida
Fall in Sunset	Fall in Sunset
道明寺ここあ	道明寺ここあ
Rainy proof	Rainy proof
HACHI	HACHI
Ups & Downs Feat. Mabanua (feat. mabanua)	Ups & Downs
Taichi Mukai	Taichi Mukai
Colorless	Colorless
Taichi Mukai	Taichi Mukai
What You Want	What You Want
Taichi Mukai	Taichi Mukai
Adam to Eve	アダムとイヴ
go!go!vanillas	go!go!vanillas
Vent	Vent
FIVE NEW OLD	FIVE NEW OLD
Two Creatures	愛のけだもの
KAMI WA SAIKORO WO FURANAI	KAMI WA SAIKORO WO FURANAI
Tatsuya Kitani	キタニタツヤ
Fuyumu	浮遊夢
Ayumu Imazu	Ayumu Imazu
COME BACK TO MY CITY	COME BACK TO MY CITY
iri	iri
Wonderland	Wonderland
iri	iri
Pre-Romance	Pre-Romance
eill	eill
NUMBER NINE	ナンバーナイン
Kenshi Yonezu	Kenshi Yonezu
Stand By You	Stand By You
Official髭男dism	OFFICIAL HIGE DANDISM
Subtitle	Subtitle
OFFICIAL HIGE DANDISM	OFFICIAL HIGE DANDISM
Uzu	Uzu
iri	iri
Water Lily	Water Lily
LAMP IN TERREN	LAMP IN TERREN
gift	gift
MONKEY MAJIK	Monkey Majik
Joryoku	常緑
Ohashi Chippoke	Chippoke Ohashi
Oaiko	オアイコ
Aimer	Aimer
Shimi	Shimi
iri	iri
Peak	Peak
iri	iri
Hana no Youni	Hana no Youni
eill	eill
スパークル	スパークル
幾田りら	Lilas Ikuta
Tomoshibi	灯火
Vaundy	Vaundy
LIFE	LIFE
Rude-α	Rude-α
NIGHT DANCER	NIGHT DANCER
imase	imase
merry-go-round	メリーゴーランド
Yuuri	Yuuri
115万キロのフィルム	115万キロのフィルム
Official髭男dism	OFFICIAL HIGE DANDISM
Fukakouryoku	不可幸力
Vaundy	Vaundy
ミライチズ	ミライチズ
夜のひと笑い	Yoru no Hitowarai
Drawl	Drawl
春野	haruno
Koiwazurai	コイワズライ
Aimer	Aimer
Come Away	Come Away
iri	iri
Flashlight	Flashlight
iri	iri
半疑じゃない	半疑じゃない
iri	iri
Aitaiwa	Aitaiwa
iri	iri
言えない	ienai
iri	iri
Tokyo Flash	東京フラッシュ
Vaundy	Vaundy
Kiito	生絲
Yoh Kamiyama	Yoh kamiyama
Koidaro	恋だろ
wacci	wacci
Tenbyouno Uta (feat. Sonoko Inoue)	点描の唄
Mrs. GREEN APPLE	Mrs. GREEN APPLE
Slowly but surely I go on	Slowly but surely I go on
THE ORAL CIGARETTES	THE ORAL CIGARETTES
Iyademone	嫌でもね
Ohashi Chippoke	Chippoke Ohashi
Yokaze	YOKAZE
HENTAI SHINSHI CLUB	HENTAI SHINSHI CLUB
Stand by me, Stand by you.	Stand by me, Stand by you.
HIRAIDAI	HIRAIDAI
Daimei no nai kyou	題名のない今日
HIRAIDAI	HIRAIDAI
Moratorium	モラトリアム
Omoinotake	Omoinotake
Shinunoga E-Wa	死ぬのがいいわ
Fujii Kaze	Fujii Kaze
Cho Si Noccha Te	調子のっちゃって
Fujii Kaze	Fujii Kaze
Boku wa kyo mo	僕は今日も
Vaundy	Vaundy
Suiheisen	水平線
back number	back number
Kidding Me	Kidding Me
春野	haruno
Sweet My Lady	Sweet My Lady
tonun	tonun
aikotoba	愛言葉
I Don't Like Mondays.	I Don't Like Mondays.
Wasted Years	Wasted Years
UEBO feat. Toss	Toss,UEBO
Pretender	Pretender
Official髭男dism	OFFICIAL HIGE DANDISM
最後の恋煩い	Saigo no Koiwazurai
Official髭男dism	OFFICIAL HIGE DANDISM
ラブレター	ラブレター
YOASOBI	YOASOBI
